id,ord_in_trial,start_time,stop_time,trial_id,x,y,image_index,image_path
41,2,72.78642500000001,72.90542500000001,7,0.5269664856951431,3.498643908742223,950.0,Stimuli/f573f042e43c3a80277557de47af743a.png
42,3,72.95942500000001,73.06342500000001,7,5.763406462489178,-1.9853109088001237,950.0,Stimuli/f573f042e43c3a80277557de47af743a.png
43,4,73.100425,73.202425,7,7.344792322062828,-2.680303601326161,950.0,Stimuli/f573f042e43c3a80277557de47af743a.png
44,5,73.238425,73.473425,7,5.784417192421441,-2.512408225007093,950.0,Stimuli/f573f042e43c3a80277557de47af743a.png
45,6,73.523425,73.714425,7,0.9857590745331684,-4.623971200591942,950.0,Stimuli/f573f042e43c3a80277557de47af743a.png
46,7,73.76342500000001,73.981425,7,6.502122683189926,-2.656536135229347,950.0,Stimuli/f573f042e43c3a80277557de47af743a.png
47,0,74.769425,74.947425,8,7.475308933331718,-2.8912788137291,376.0,Stimuli/684d14628722ade75bdd81b654599dc0.png
48,1,74.99442499999999,75.091425,8,1.854820351583022,2.3983026600758715,376.0,Stimuli/684d14628722ade75bdd81b654599dc0.png
49,2,75.130425,75.338425,8,-2.9701365795711325,1.5456609997441526,376.0,Stimuli/684d14628722ade75bdd81b654599dc0.png
50,3,75.385425,75.583425,8,-3.6550411283399664,-6.907024322532257,376.0,Stimuli/684d14628722ade75bdd81b654599dc0.png
51,4,75.629425,75.73542499999999,8,-3.378265685088937,1.4360805720389056,376.0,Stimuli/684d14628722ade75bdd81b654599dc0.png
52,0,77.257475,77.55347499999999,9,2.254041530613968,2.387676782544024,707.0,Stimuli/10790d260d1b80c2b433b6691d24e0cd.png
53,1,77.600475,77.960475,9,-3.786738198816238,3.243040931608152,707.0,Stimuli/10790d260d1b80c2b433b6691d24e0cd.png
54,2,78.013475,78.207475,9,3.5104113641392143,-1.1184226242523252,707.0,Stimuli/10790d260d1b80c2b433b6691d24e0cd.png
55,3,78.255475,78.420475,9,4.55567329845688,-7.132875201913095,707.0,Stimuli/10790d260d1b80c2b433b6691d24e0cd.png
56,4,78.470475,78.935475,9,-3.7390816225624333,-7.840555139711809,707.0,Stimuli/10790d260d1b80c2b433b6691d24e0cd.png
57,0,79.679975,79.953975,10,-2.8363232821032947,1.5523648736574434,908.0,Stimuli/fd78c3e436840ab86d75254fb30874c9.png
58,1,80.00597499999999,80.084975,10,6.332189029961596,1.6144689782246564,908.0,Stimuli/fd78c3e436840ab86d75254fb30874c9.png
59,2,80.125975,80.254975,10,8.05875084894285,-1.1554189118587428,908.0,Stimuli/fd78c3e436840ab86d75254fb30874c9.png
60,3,80.286975,80.661975,10,6.6129888173522815,-0.881682332882021,908.0,Stimuli/fd78c3e436840ab86d75254fb30874c9.png
61,4,80.733975,80.802975,10,11.659675113457926,4.299663698208816,908.0,Stimuli/fd78c3e436840ab86d75254fb30874c9.png
62,5,80.838975,80.963975,10,12.99118124351069,6.5125091305048155,908.0,Stimuli/fd78c3e436840ab86d75254fb30874c9.png
63,6,81.009975,81.172975,10,5.198411294914737,8.667748543008088,908.0,Stimuli/fd78c3e436840ab86d75254fb30874c9.png
64,0,82.17320000000001,82.44220000000001,11,0.18089597467997487,-1.2809661165979205,260.0,Stimuli/3676525a136111ad671437e335b14247.png
65,1,82.4762,82.87020000000001,11,-1.1549837503997713,1.2853058883567612,260.0,Stimuli/3676525a136111ad671437e335b14247.png
66,2,82.92020000000001,83.1092,11,-11.050757082219663,0.5519588702663525,260.0,Stimuli/3676525a136111ad671437e335b14247.png
67,3,83.1542,83.43620000000001,11,-8.301574371351766,-5.07725003166524,260.0,Stimuli/3676525a136111ad671437e335b14247.png
68,4,83.4822,83.6102,11,-11.377987962841344,0.0010450914127489892,260.0,Stimuli/3676525a136111ad671437e335b14247.png
69,5,83.64420000000001,83.81920000000001,11,-11.627458112137418,1.4942104655130297,260.0,Stimuli/3676525a136111ad671437e335b14247.png
70,0,84.619675,84.892675,12,2.6070945647030648,0.2015316676874176,940.0,Stimuli/60028ce7be02f92cd8c395f44a49b771.png
71,1,84.933675,85.072675,12,-1.0230998577449568,3.4216072045622057,940.0,Stimuli/60028ce7be02f92cd8c395f44a49b771.png
72,2,85.119675,85.199675,12,-8.320763626249,-0.0926413389466487,940.0,Stimuli/60028ce7be02f92cd8c395f44a49b771.png
73,3,85.244675,85.485675,12,-10.430635530434463,-6.250237325291622,940.0,Stimuli/60028ce7be02f92cd8c395f44a49b771.png
74,4,85.532675,85.660675,12,-9.240024949271117,-0.2372355715240071,940.0,Stimuli/60028ce7be02f92cd8c395f44a49b771.png
