id,ord_in_trial,start_time,stop_time,trial_id,x,y,image_index,image_path
40,8,22.456024999999997,22.576024999999998,6,18.506659960356693,-4.0020752718547685,271.0,Stimuli/3ce4f43f52d16f8e37153240ee32e7d2.png
41,0,23.272625,24.200625000000002,7,-0.08563729129277936,0.6446236254682847,105.0,Stimuli/2cda2d9d0805ae09535c4d4d47636d8e.png
42,1,24.242625,24.567625,7,-6.797635035759575,2.134115895533203,105.0,Stimuli/2cda2d9d0805ae09535c4d4d47636d8e.png
43,2,24.610625000000002,24.778625,7,-5.983304605912986,-2.186229668387406,105.0,Stimuli/2cda2d9d0805ae09535c4d4d47636d8e.png
44,3,24.825625000000002,24.974625000000003,7,-7.657830434128642,2.1762764137886013,105.0,Stimuli/2cda2d9d0805ae09535c4d4d47636d8e.png
45,4,25.018625,25.122625000000003,7,-4.207966289786033,4.264646274103035,105.0,Stimuli/2cda2d9d0805ae09535c4d4d47636d8e.png
46,5,25.170625,25.382625,7,-7.673361617530064,1.318045379086335,105.0,Stimuli/2cda2d9d0805ae09535c4d4d47636d8e.png
47,6,25.404625000000003,25.685625,7,-9.212372503504566,3.5925993611780425,105.0,Stimuli/2cda2d9d0805ae09535c4d4d47636d8e.png
48,7,25.740625,25.777625,7,22.705889994818918,12.0,105.0,Stimuli/2cda2d9d0805ae09535c4d4d47636d8e.png
49,8,25.823625,26.025625,7,1.0744228003739293,-14.63281571552182,105.0,Stimuli/2cda2d9d0805ae09535c4d4d47636d8e.png
50,9,26.080625,26.259625,7,-10.570902616313777,-12.896675836464906,105.0,Stimuli/2cda2d9d0805ae09535c4d4d47636d8e.png
51,0,27.572325,27.623324999999998,9,19.72952924726834,-0.1262425691478046,232.0,Stimuli/b833fd9f7401900439ab5645ed612676.png
52,0,28.440075,28.537075,10,11.707749155205544,-13.986913557760978,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
53,1,28.599075,29.329075,10,0.20370350921653058,1.64322405513519,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
54,2,29.371075,29.494075000000002,10,-4.2579691609304104,1.0980373389826457,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
55,3,29.524075,29.640075,10,-2.3815077199673973,1.75121590402465,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
56,4,29.676075,29.796075000000002,10,-4.949007500004174,3.0063151096808616,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
57,5,29.835075,29.984075,10,-2.401388035978471,1.8034523623394711,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
58,6,30.032075,30.167075,10,-4.665963076525298,-2.049369246649855,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
59,7,30.214075,30.670075,10,-3.133884026291599,0.189288099367757,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
60,8,30.714075,30.827075,10,-4.793227585309657,-2.322067511158571,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
61,9,30.875075000000002,30.950075000000002,10,-3.5546470910063075,-0.5463917982571453,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
62,10,31.027075,31.380075,10,9.752362077352249,-15.930341459282465,227.0,Stimuli/5fff0a08166937d59a0688fc4dc07018.png
63,0,31.816625,31.871624999999998,11,-2.140010810132213,-3.887328118725275,80.0,Stimuli/4b39c5b32120d1485c053808d6a8e3a0.png
64,1,31.912625,32.036625,11,-2.45926474588651,-2.5766735522750346,80.0,Stimuli/4b39c5b32120d1485c053808d6a8e3a0.png
65,2,32.087624999999996,32.220625,11,-0.8679992156083242,-1.470490859926729,80.0,Stimuli/4b39c5b32120d1485c053808d6a8e3a0.png
66,3,32.255624999999995,32.798625,11,-0.006543798632254288,0.15375758686690413,80.0,Stimuli/4b39c5b32120d1485c053808d6a8e3a0.png
67,4,32.852624999999996,33.023624999999996,11,6.5311208361128665,1.3291877922845228,80.0,Stimuli/4b39c5b32120d1485c053808d6a8e3a0.png
68,5,33.078624999999995,33.266625,11,-5.967555654196036,2.1522402273915424,80.0,Stimuli/4b39c5b32120d1485c053808d6a8e3a0.png
69,6,33.299625,33.715624999999996,11,-5.233342313227481,1.6996765233172975,80.0,Stimuli/4b39c5b32120d1485c053808d6a8e3a0.png
70,7,33.759625,33.990625,11,-7.742970442468726,2.8325615640468707,80.0,Stimuli/4b39c5b32120d1485c053808d6a8e3a0.png
71,8,34.033625,34.371625,11,-5.231296866218399,2.204939716393527,80.0,Stimuli/4b39c5b32120d1485c053808d6a8e3a0.png
72,9,34.458625,34.754625,11,5.6819489626762705,-12.437185152726089,80.0,Stimuli/4b39c5b32120d1485c053808d6a8e3a0.png
73,0,35.2689,35.3459,12,6.963448159372839,-15.514340080576345,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
74,1,35.407900000000005,36.2049,12,0.03292640860976999,1.158958130116624,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
75,2,36.2509,36.5259,12,8.07660918582928,4.356412437314789,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
76,3,36.569900000000004,36.7579,12,-5.4043065399878225,3.9350590595209494,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
77,4,36.7819,36.947900000000004,12,-7.96395772441517,3.9280252268953646,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
78,5,36.983900000000006,37.057900000000004,12,-5.601605686721258,1.4815649570589506,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
79,6,37.108900000000006,37.374900000000004,12,-3.2195398120706993,3.1222945626861076,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
80,7,37.4249,37.5599,12,-7.841747282556802,2.9586159239005805,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
81,8,37.596900000000005,37.7489,12,-4.032522375459892,2.476247274234113,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
82,9,37.8799,38.139900000000004,12,5.551908072913905,-15.302830373880054,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
83,10,38.2109,38.3459,12,-0.6504073968212547,-5.384831449092933,175.0,Stimuli/e65db7b44908cf6a3264994238053285.png
84,0,38.6945,38.9175,13,-2.5693408510592226,-0.19927788133508004,211.0,Stimuli/255df9be4ceaf976247914c07ded5297.png
85,1,38.9555,39.6185,13,0.1597017802918867,2.2043122794354564,211.0,Stimuli/255df9be4ceaf976247914c07ded5297.png
86,2,39.6695,39.8895,13,7.126926080316984,2.3279557909163144,211.0,Stimuli/255df9be4ceaf976247914c07ded5297.png
87,3,39.9385,40.079499999999996,13,11.561254634798795,-1.674621274393185,211.0,Stimuli/255df9be4ceaf976247914c07ded5297.png
88,4,40.1275,40.418499999999995,13,6.916447803883481,3.1261283509311872,211.0,Stimuli/255df9be4ceaf976247914c07ded5297.png
89,5,40.4595,41.2185,13,3.4704551930483056,-1.0650667043378925,211.0,Stimuli/255df9be4ceaf976247914c07ded5297.png
90,6,41.284499999999994,41.396499999999996,13,10.233752211576643,-16.00004593881761,211.0,Stimuli/255df9be4ceaf976247914c07ded5297.png
91,7,41.4535,41.6995,13,4.138350135590665,-3.221018565545434,211.0,Stimuli/255df9be4ceaf976247914c07ded5297.png
92,0,42.737824999999994,42.843824999999995,15,9.957720778517421,-15.963309110726401,189.0,Stimuli/15275ccf934763d7e8dc93b0f80217dc.png
93,1,42.896825,43.630824999999994,15,0.17995388242072072,1.1778199371633102,189.0,Stimuli/15275ccf934763d7e8dc93b0f80217dc.png
94,2,43.65882499999999,45.154824999999995,15,-8.289032363685752,2.670769103296381,189.0,Stimuli/15275ccf934763d7e8dc93b0f80217dc.png
95,3,45.263825,45.721824999999995,15,6.948318427469771,-15.484128191400753,189.0,Stimuli/15275ccf934763d7e8dc93b0f80217dc.png
96,0,47.395325,47.581325,18,-11.812843186688179,-12.709408400510055,195.0,Stimuli/bcc18905b59b085d4fa8b7a587f32f63.png
97,1,47.646325,48.346325,18,0.01638316669722595,1.222013306295099,195.0,Stimuli/bcc18905b59b085d4fa8b7a587f32f63.png
98,2,48.390325,48.551325,18,7.469550300464292,1.816155765151664,195.0,Stimuli/bcc18905b59b085d4fa8b7a587f32f63.png
99,3,48.594325,48.733325,18,9.171353015055448,-1.1096727822970738,195.0,Stimuli/bcc18905b59b085d4fa8b7a587f32f63.png
100,4,48.782325,48.888324999999995,18,4.873728067265064,-0.20914743247344253,195.0,Stimuli/bcc18905b59b085d4fa8b7a587f32f63.png
101,5,48.932325,49.185325,18,8.15374913281712,-2.2609375885745204,195.0,Stimuli/bcc18905b59b085d4fa8b7a587f32f63.png
102,6,49.217324999999995,49.400324999999995,18,8.333793447264764,0.10970195987046914,195.0,Stimuli/bcc18905b59b085d4fa8b7a587f32f63.png
103,7,49.441325,49.627325,18,8.357726613600041,-2.8943885860756464,195.0,Stimuli/bcc18905b59b085d4fa8b7a587f32f63.png
